s_id,lastname,firstname,birthyear,sex,nationality,last_club,pb,results
4311946,DUBUC,Armand,1997,M,BEL,Les Espadons Cominois,52.59,t
5251197,KINDT,Levi,2007,M,BEL,Torhoutse Zwemklub Thor,52.60,t
4074849,JACQUERIE,Pierre,1988,M,BEL,Herstal Natation,52.61,t
4074308,VAN DAMME,Dennis,1991,M,BEL,First (Flanders Inter Regio Sw,52.63,t
4272297,LAFERE,Hannes,1991,M,BEL,Koninklijke Kortrijkse Zwemkri,52.63,t
4139683,DE CONINCK,Thieu,1994,M,BEL,Oudenaardse Zwemclub,52.63,t
5007866,COURBOIS,Thomas,2005,M,BEL,Liege Natation,52.63,t
4305496,EEKHOF,Maxime,1997,M,BEL,Zwemclub Tremelo,52.64,t
4308784,HERMANS,Janou,1998,M,BEL,Swimming Team Tienen,52.65,t
4804371,VANDER HOOGERSTRAETE,Tom,1987,M,BEL,Meetjesland-Gent Alliantie Zwemteam,52.66,t
4139773,LIDBY,Paul-Evert,1994,M,BEL,Zwemclub Brabo Antwerpen,52.67,t
4805222,EMONDS-ALT,Thibault,1993,M,BEL,Ecole Seraing Natation,52.68,t
4804293,KELDERMAN,Raf,1986,M,BEL,Zwemclub Brabo Antwerpen,52.69,t
4074293,VERSCHEURE,Nick,1990,M,BEL,Zwemclub Brabo Antwerpen,52.69,t
4608348,DEBLOCK,Lucas,2000,M,BEL,Ursus Zwemklub Zwevegem,52.70,t
4839493,MATTHEUS,Ibe,2005,M,BEL,Tiense Regio United Swimming Team,52.71,t
4742585,HUSQUINET,Paul,2002,M,BEL,Liege Mosan,52.73,t
4139867,CROUQUET,Adrien,1994,M,BEL,Natation Club Athus,52.77,t
4308858,LEMBRECHTS,Matthias,1995,M,BEL,Zwemclub Brabo Antwerpen,52.77,t
4074367,PETERS,Bert,1992,M,BEL,Meetjesland-Gent Alliantie Zwemteam,52.78,t
4296034,ROGGEMAN,Guillaume,1993,M,BEL,Waterloo Natation,52.78,t
4304622,BEIRNAERT,Jonas,1997,M,BEL,Swimming Team Waasland,52.79,t
4306751,ORIS,Stephane,1996,M,BEL,Zwemvereniging De Meerkoet Bre,52.79,t
4052093,MORTIER,Dieter,1982,M,BEL,Koninklijke Kortrijkse Zwemkri,52.81,t
4690205,LUST,Louis,2001,M,BEL,Aalterse Zwemvereniging,52.81,t
4608339,BRAEKEVELD,Tibo,2001,M,BEL,Ursus Zwemklub Zwevegem,52.81,t
4074337,VIDTS,Pieter-Jan,1987,M,BEL,First (Flanders Inter Regio Sw,52.82,t
4822314,BERX,Robbe,2003,M,BEL,Tiense Regio United Swimming Team,52.84,t
4804953,KRUG,Alexis,1987,M,BEL,Zwemclub Brabo Antwerpen,52.85,t
5031305,VANHOVE,Maxime,2005,M,BEL,Zwemclub Geel,52.85,t
5170705,VERMAUT,Arthur,2006,M,BEL,Leuven Aquatics,52.85,t
4046727,VANGENEUGDEN,Tom,1983,M,BEL,Peltse Zwemclub,52.87,t
4398128,DE GOLS,Senne,1998,M,BEL,Koninklijke Zwemclub Neptunus,52.87,t
5199444,LAUREYSSENS,Lukas,2008,M,BEL,Zwemclub Schoten,52.88,t
4989648,MEERE,Jarno,2003,M,BEL,Zwemclub de Dolfijnen Asse-T,52.89,t
4439657,STAES,Thomas,2000,M,BEL,Shark,52.89,t
4804280,DUMON,Bart,1986,M,BEL,Brabant East Swimming Team,52.91,t
4711096,LEPERS,Robin,1999,M,BEL,Leuven Aquatics,52.91,t
4726077,DEJONGHE,Arnaud,2002,M,BEL,Zwemclub De Dolfijnen Middelke,52.91,t
4805245,VAN MULLEM,Lars,1994,M,BEL,Swimming Team Waasland,52.92,t
4170683,VAN KEER,Cedric,1984,M,BEL,Zwemclub Brabo Antwerpen,52.93,t
4074334,PEETERS,Nick,1991,M,BEL,Zwemclub Brabo Antwerpen,52.93,t
5185905,VAN THIELEN,Michel,1971,M,BEL,Molse Zwemclub mozka,52.94M,t
4359928,CLAESSENS,Lars,1996,M,BEL,Genker Zwemvereniging Neptunus,52.94,t
5027306,VANSIMAEYS,Wout,2005,M,BEL,Izegemse Krekel Zwemmers,52.94,t
5244429,BAETEN,Lukas,2007,M,BEL,Leuven Aquatics,52.94,t
4804979,BOURSIE,Philippe,1984,M,BEL,Csc La Calamine Neu-Moresnet,52.98,t
4989460,BARRAGAN TORRES,Lukas,2003,M,BEL,De Dolfijnen Zwemclub Zomergem,55.15,t
4804620,BASTIN,Cedric,1991,M,BEL,Embourg Natation,55.16,t
