"s_id","lastname","firstname","birthyear","sex","nationality","last_club","pb","results"
"4085511","KURZAK","Jeremy",1990,"M","BEL","Mons Hainaut Natation","51.79",False
"4306238","LEMMENS","Tuur",1997,"M","BEL","Koninklijke Hasseltse Zwemvere","51.80",False
"4398035","KRUIJTZER","Bram",1997,"M","BEL","Zwemclub Brabo Antwerpen","51.80",False
"4804654","WIELANDT","Pieter",1993,"M","BEL","First (Flanders Inter Regio Sw","51.80",False
"4805328","BONNEL","Nathan",1993,"M","BEL","Braine L'alleud Aqua College","51.82",False
"5105916","SNEYERS","Kobe",2006,"M","BEL","Nijlense Zwemclub","51.82",False
"4620619","DEREZ","Matthias",2000,"M","BEL","Koninklijke Kortrijkse Zwemkri","51.83",False
"5203185","TUYPENS","Emile",2007,"M","BEL","First (Flanders Inter Regio Sw","51.84",False
"4304707","CAERTS","Basten",1997,"M","BEL","De Beringse Tuimelaars","51.87",False
"4352042","MORIAU","Thibault",1999,"M","BEL","Cercle De Natation Sportcity W","51.87",False
"4199973","SPANHOVE","Lars",1996,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","51.89",False
"4352047","FOURNEAU","Liam",2000,"M","BEL","Castor Club De Mons","51.91",False
"4073178","CATY","Quentin",1988,"M","BEL","Cercle De Natation Sportcity W","51.92",False
"5167359","MEES","Ruben",2006,"M","BEL","Swimming Club Zaventem","51.93",False
"4900525","OHN","Antoine",2002,"M","BEL","Herstal Natation","51.93",False
"4941444","VANSPAUWEN","Alexander",2003,"M","BEL","Koninklijke Hasseltse Zwemvere","51.94",False
"4927405","MEES","Brent",2003,"M","BEL","Swimming Club Zaventem","51.97",False
"4427736","DERYCKE","Jens",1993,"M","BEL","Gold Swimming Team","51.99",False
"4913529","GANTOIS","Olivier",2002,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","52.00",False
"4140026","LENAERTS","Michael",1991,"M","BEL","Cercle Royal De Natation De Br","52.01",False
"5106643","SAIVE","Antoine",2004,"M","BEL","Liege Natation","52.01",False
"4804414","BAUWENS","Ward",1993,"M","BEL","Zwemclub Brabo Antwerpen","52.05",False
"4074305","BALLIU","Bjorn",1989,"M","BEL","Zwemclub S.O.S.","52.06",False
"4804504","CANON","Thomas",1991,"M","BEL","Mons Hainaut Natation","52.10",False
"4295910","VAN DEN BROECK","Jeroen",1995,"M","BEL","Zwemclub Brabo Antwerpen","52.11",False
"4355425","THIRY","Gaetan",1995,"M","BEL","Koninklijke Hasseltse Zwemvere","52.12",False
"4680479","GULDENTOPS","Kevin",2000,"M","BEL","Temse Schelde Zwemmers","52.12",False
"5365216","BRACKE","Erno",2005,"M","BEL","Zwemclub Brabo Antwerpen","52.12",False
"4255126","BOURLIER","Vincent",1992,"M","BEL","Waterloo Natation","52.16",False
"4742581","DONATI","Alexandre",2001,"M","BEL","Royal Verviers Natation","52.18",False
"4305183","DECOSSAUX","Valentin",1995,"M","BEL","Leuven Aquatics","52.18",False
"4565976","HAEGEMAN","Jonas",1999,"M","BEL","Aalsters Swimming Team","52.20",False
"4805342","FRANCOTTE","Sebastien",1992,"M","BEL","Cercle De Natation Sportcity W","52.21",False
"4304714","CARREMANS","Maarten",1998,"M","BEL","Swimming Team Zennevallei","52.21",False
"4804381","VANGENEUGDEN","Rob",1984,"M","BEL","Peltse Zwemclub","52.24",False
"4828064","HOREMANS","Ruben",2001,"M","BEL","Shark","52.24",False
"4804319","FLOREAN","Remy",1986,"M","BEL","Cercle De Natation Sportcity W","52.25",False
"4827868","VAN ROMPAEY","Senne",2003,"M","BEL","Zwemclub Brabo Antwerpen","52.25",False
"4037287","BODET","Sebastien",1985,"M","BEL","Liege Natation","52.27",False
"4804712","LANDAUER","Olivier",1992,"M","BEL","Liege Natation","52.29",False
"4199875","DECLERCQ","Vincent",1996,"M","BEL","Aquarius Zwemclub Lebbeke","52.29",False
"4255145","COREELMAN","Jonas",1991,"M","BEL","Royal Dauphins Mouscronnois","52.31",False
"4330712","FEUILLEN","David",1999,"M","BEL","Ecole Seraing Natation","52.31",False
"4484572","MULKERS","Lander",2000,"M","BEL","Koninklijke Hasseltse Zwemvere","52.33",False
"4393627","WILLEMS","Bruno",1999,"M","BEL","Zwemvereniging Lier","52.35M",False
"4295892","VAN BOGAERT","Bram",1998,"M","BEL","Shark","52.36",False
"4804351","VAN DEN BRANDE","Bart",1986,"M","BEL","Heistse Zwemclub Arduas","52.37",False
"4439615","PARMENTIER","Bavo",1998,"M","BEL","Koninklijke Brugse Zwem- & Red","52.37",False
"4828012","DAVID","Loeka",2003,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","52.37",False
"4081649","PEETERS","Tim",1987,"M","BEL","Koninklijke Racing Swimming Cl","52.38",False
"5015629","SCHOTTE","Edward",2005,"M","BEL","Iswim","52.40",False
"4578972","DE GRAAF","Christophe",1999,"M","BEL","Zwemclub Schoten","52.42",False
"5081014","DEMAJ","Valdrim",2003,"M","BEL","Koninklijke Vilvoordse Zwemclu","52.42",False
"5185651","VANHECKE","Raphael",2006,"M","BEL","Liege Natation","52.42",False
"4911097","VAN DEN HOORN","Jelle",2004,"M","BEL","Zwemvereniging De Meerkoet Bre","52.42",False
"4805351","DE HERTOG","Kjel",1991,"M","BEL","Swimming Club Strombeek-Grimbe","52.43",False
"4308674","DEMEY","Patrick Jr",1995,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","52.44",False
"4605646","RUIJTEN","Sander",2001,"M","BEL","Zwemvereniging De Meerkoet Bre","52.44",False
"5137758","FEYAERTS","Floris",2005,"M","BEL","Tiense Regio United Swimming Team","52.45",False
"4068904","SORET","Bastien",1992,"M","BEL","Dison Welkenraedt Swimming Tea","52.46",False
"4139944","ZERAIDI","Mehdi",1994,"M","BEL","Cercle Royal De Natation De Br","52.46",False
"4804789","ROGIERS","Ken",1989,"M","BEL","Koninklijke Racing Swimming Cl","52.47",False
"4348842","XHONNEUX","Thomas",1998,"M","BEL","Herstal Natation","52.48",False
"4805031","SAPIEHA","Nicolas",1986,"M","BEL","Swimming Club Rixensart","52.49",False
"4826636","GEUENS","Lars",2003,"M","BEL","Leuven Aquatics","52.49",False
"5203731","CLAERHOUT","Bas",2008,"M","BEL","Torhoutse Zwemklub Thor","52.49",False
"4040337","SDRAULIG","Jean-Luc",1972,"M","BEL","Belgium","52.50M",False
"4777815","BERGES","Jens",2001,"M","BEL","Heistse Zwemclub Arduas","52.50",False
"4303501","DE POORTER","Bram",1984,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","52.51",False
"4361330","VERBEEK","Bram",1999,"M","BEL","Koninklijke Hasseltse Zwemvere","52.51",False
"4989642","MAES","Yarn",2003,"M","BEL","Zwemclub Brabo Antwerpen","52.52",False
"5278506","VAN HOEY BILLIET","Alexander",2009,"M","BEL","Swimming Team Waasland","52.52",False
"4842525","VAN SON","Lander",1999,"M","BEL","Zwemclub Brabo Antwerpen","52.53",False
"4139676","RUIJTEN","Dieter",1995,"M","BEL","Zwemvereniging De Meerkoet Bre","52.54",False
"5015443","KALLAERT","Dries",2002,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","52.55",False
"4139827","VAN DER SANDE","Olivier",1993,"M","BEL","Zwemvereniging Lier","52.56",False
"5091288","PANAGIOTIDIS","Alexandre",2004,"M","BEL","Waterloo Natation","52.56",False
"4605671","DAEMS","Etienne",2001,"M","BEL","Zwemclub Tremelo","52.58",False
"4311946","DUBUC","Armand",1997,"M","BEL","Les Espadons Cominois","52.59",False
"5251197","KINDT","Levi",2007,"M","BEL","Torhoutse Zwemklub Thor","52.60",False
"4074849","JACQUERIE","Pierre",1988,"M","BEL","Herstal Natation","52.61",False
"4074308","VAN DAMME","Dennis",1991,"M","BEL","First (Flanders Inter Regio Sw","52.63",False
"4272297","LAFERE","Hannes",1991,"M","BEL","Koninklijke Kortrijkse Zwemkri","52.63",False
"4139683","DE CONINCK","Thieu",1994,"M","BEL","Oudenaardse Zwemclub","52.63",False
"5007866","COURBOIS","Thomas",2005,"M","BEL","Liege Natation","52.63",False
"4305496","EEKHOF","Maxime",1997,"M","BEL","Zwemclub Tremelo","52.64",False
"4308784","HERMANS","Janou",1998,"M","BEL","Swimming Team Tienen","52.65",False
"5208826","WAERNIERS","Bere",2008,"M","BEL","Torhoutse Zwemklub Thor","52.65",False
"4804371","VANDER HOOGERSTRAETE","Tom",1987,"M","BEL","Meetjesland-Gent Alliantie Zwemteam","52.66",False
"4139773","LIDBY","Paul-Evert",1994,"M","BEL","Zwemclub Brabo Antwerpen","52.67",False
"4805222","EMONDS-ALT","Thibault",1993,"M","BEL","Ecole Seraing Natation","52.68",False
"4804293","KELDERMAN","Raf",1986,"M","BEL","Zwemclub Brabo Antwerpen","52.69",False
"4074293","VERSCHEURE","Nick",1990,"M","BEL","Zwemclub Brabo Antwerpen","52.69",False
"4608348","DEBLOCK","Lucas",2000,"M","BEL","Ursus Zwemklub Zwevegem","52.70",False
"4839493","MATTHEUS","Ibe",2005,"M","BEL","Tiense Regio United Swimming Team","52.71",False
